squirrel,color
508,Gray
509,Gray
510,Gray
511,Gray
512,Gray
513,Gray
514,Gray
515,Gray
516,Gray
517,Gray
518,Gray
519,Cinnamon
520,Gray
521,Cinnamon
522,Gray
523,Gray
524,Gray
525,Black
526,Gray
527,Gray
528,Gray
529,Gray
530,Cinnamon
531,Gray
532,Gray
533,Gray
534,Gray
535,Gray
536,Gray
537,Gray
538,Gray
539,Gray
540,Gray
541,Gray
542,Black
543,Gray
544,Gray
545,Gray
546,Gray
547,Black
548,Gray
549,Black
550,Gray
551,Gray
552,Gray
553,Gray
554,Gray
555,Gray
556,Gray
557,Black
558,Gray
559,Gray
560,Gray
561,Cinnamon
562,Cinnamon
563,Cinnamon
564,Gray
565,Gray
566,Gray
567,Gray
568,Gray
569,Gray
570,Cinnamon
571,Gray
572,Gray
573,Gray
574,Gray
575,Gray
576,Cinnamon
577,Gray
578,Gray
579,Cinnamon
580,Cinnamon
581,Gray
582,Gray
583,Gray
584,Gray
585,Gray
586,Gray
587,Cinnamon
588,Cinnamon
589,Gray
590,Gray
591,Gray
592,Gray
593,Gray
594,Black
595,Gray
596,Gray
597,Gray
598,Gray
599,Gray
600,Gray
601,Gray
602,Gray
603,Gray
604,Gray
605,Gray
606,Gray
607,Gray
608,Cinnamon
609,Cinnamon
610,Gray
611,Gray
612,Gray
613,Gray
614,Gray
615,Gray
616,Gray
617,Gray
618,Cinnamon
619,Gray
620,Cinnamon
621,Gray
622,Gray
623,Gray
624,Cinnamon
625,Gray
626,Gray
627,Gray
628,Cinnamon
629,Gray
630,Black
631,Gray
632,Gray
633,Cinnamon
634,Gray
635,Gray
636,Gray
637,Gray
638,Black
639,Gray
640,Cinnamon
641,Gray
642,Gray
643,Gray
644,Gray
645,Gray
646,Cinnamon
647,Gray
648,Gray
649,Gray
650,Gray
651,Gray
652,Gray
653,Gray
654,Black
655,Gray
656,Gray
657,Gray
658,Gray
659,Gray
660,Gray
661,Cinnamon
662,Gray
663,Gray
664,Gray
665,Gray
666,Black
667,Gray
668,Gray
669,Gray
670,Gray
671,Gray
672,Gray
673,Gray
674,Gray
675,Gray
676,Cinnamon
677,Gray
678,Gray
679,Gray
680,Gray
681,Gray
682,Cinnamon
683,Gray
684,Gray
685,Gray
686,Gray
687,Gray
688,Gray
689,Gray
690,Gray
691,Cinnamon
692,Gray
693,Gray
694,Black
695,Gray
696,Gray
697,Gray
698,Gray
699,Black
700,Gray
701,Gray
702,Gray
703,Gray
704,Gray
705,Gray
706,Gray
707,Gray
708,Gray
709,Gray
710,Gray
711,Black
712,Gray
713,Gray
714,Gray
715,Gray
716,Black
717,Gray
718,Gray
719,Cinnamon
720,Gray
721,Gray
722,Cinnamon
723,Cinnamon
724,Gray
725,Gray
726,Gray
727,Gray
728,Gray
729,Gray
730,Cinnamon
731,Gray
732,Gray
733,Gray
734,Gray
735,Gray
736,Gray
737,Gray
738,Cinnamon
739,Gray
740,Gray
741,Gray
742,Cinnamon
743,Gray
744,Gray
745,Gray
746,Cinnamon
747,Gray
748,Gray
749,Gray
750,Gray
751,Gray
752,Gray
753,Gray
754,Gray
755,Gray
756,Gray
757,Gray
758,Gray
759,Black
760,Gray
761,Gray
762,Gray
763,Cinnamon
764,Gray
765,Gray
766,Gray
767,Gray
768,Gray
769,Gray
770,Gray
771,Cinnamon
772,Gray
773,Gray
774,Cinnamon
775,Gray
776,Gray
777,Gray
778,Black
779,Gray
780,Gray
781,Gray
782,Cinnamon
783,Gray
784,Gray
785,Gray
786,Gray
787,Gray
788,Gray
789,Gray
790,Gray
791,Gray
792,Gray
793,Gray
794,Gray
795,Gray
796,Gray
797,Cinnamon
798,Gray
799,Gray
800,Gray
801,Gray
802,Gray
803,Gray
804,Black
805,Gray
806,Black
807,Gray
808,Gray
809,Gray
810,Gray
811,Cinnamon
812,Gray
813,Gray
814,Gray
815,Gray
816,Gray
817,Gray
818,Gray
819,Gray
820,Gray
821,Gray
822,Cinnamon
823,Gray
824,Cinnamon
825,Gray
826,Gray
827,Gray
828,Gray
829,Gray
830,Gray
831,Gray
832,Gray
833,Gray
834,Gray
835,Black
836,Gray
837,Gray
838,Gray
839,Gray
840,Gray
841,Cinnamon
842,Gray
843,Cinnamon
844,Gray
845,Cinnamon
846,Gray
847,Gray
848,Gray
849,Cinnamon
850,Gray
851,Gray
852,Cinnamon
853,Gray
854,Black
855,Gray
856,Gray
857,Gray
858,Gray
859,Cinnamon
860,Gray
861,Cinnamon
862,Gray
863,Gray
864,Gray
865,Gray
866,Gray
867,Gray
868,Cinnamon
869,Gray
870,Gray
871,Gray
872,Cinnamon
873,Gray
874,Gray
875,Gray
876,Gray
877,Gray
878,Gray
879,Gray
880,Gray
881,Black
882,Gray
883,Gray
884,Gray
885,Cinnamon
886,Gray
887,Gray
888,Gray
889,Black
890,Gray
891,Gray
892,Gray
893,Gray
894,Gray
895,Cinnamon
896,Gray
897,Gray
898,Black
899,Cinnamon
900,Gray
901,Gray
902,Gray
