Symbol,Name,Exchange,Sector,Price,PricetoEarnings,DividendYield,EarningsperShare,FiftytwoWeekHigh,FiftytwoWeekLow,MarketCap_000s,EBITDA,PricetoSales,PricetoBook
GM,General Motors,NYSE,Consumer_Discretionary,40.75,6.58,3.59,6,46.76,31.92,61536606,23541000000,0.5633218,1.33
GPC,Genuine Parts,NYSE,Consumer_Discretionary,96.31,21.17,2.72,4.6,107.75,79.86,14554322,1201517000,1.212236,4.33
GPN,Global Payments Inc.,NYSE,Information_Technology,100.59,27.86,0.04,1.58,113.26,76.47,16920023,960345000,5.775833,4.73
GS,Goldman Sachs Group,NYSE,Financials,246.35,12.44,1.17,8.61,273.79,209.62,96978500,0,2.309415,1.25
GWW,Grainger (W.W.) Inc.,NYSE,Industrials,258.6,22.57,1.97,10.02,298.145,155,14639308,1279846000,1.3995146,8.1
HAL,Halliburton Co.,NYSE,Energy,47.41,38.86,1.45,-0.53,57.86,38.181,43356557,2910000000,2.1424224,4.74
HBI,Hanesbrands Inc,NYSE,Consumer_Discretionary,19.57,10.04,2.73,1.41,25.73,18.9,8006269,926153000,1.6339768,6.17
HOG,Harley-Davidson,NYSE,Consumer_Discretionary,47.54,13.7,3.02,2.98,63.4,44.52,8158950,1058817000,1.66195,4.31
HRS,Harris Corporation,NYSE,Information_Technology,149.84,26.38,1.49,4.43,160.67,104.16,18140727,1368000000,2.9516637,5.88
HIG,Hartford Financial Svc.Gp.,NYSE,Financials,53.34,14.34,1.79,2.27,59.2,46.35,19926306,0,1.3939538,1.15
HCA,HCA Holdings,NYSE,Health_Care,95.97,14.07,1.42,5.94,106.84,71.18,34449053,8202000000,0.7251921,
HCP,HCP Inc.,NYSE,Real_Estate,22.64,10.99,6.33,1.33,33.67,22.8,10967756,1412684000,8.127109,1.97
HP,Helmerich & Payne,NYSE,Energy,64.87,-54.51,4.15,-1.2,75.02,42.16,7345244,483673000,3.7385862,1.62
HES,Hess Corporation,NYSE,Energy,43,-9.33,2.27,-19.94,55.48,37.25,14016130,-819000000,3.780475,1.08
HLT,Hilton Worldwide Holdings Inc,NYSE,Consumer_Discretionary,78.66,36.42,0.73,1.05,88.11,55.79,26242416,2815000000,3.7628453,17.67
HD,Home Depot,NYSE,Consumer_Discretionary,181.22,28.1,1.86,6.46,207.605,136.82,223378633,16513000000,2.8964398,84.08
HRL,Hormel Foods Corp.,NYSE,Consumer_Staples,32.21,20.39,2.29,1.57,38,29.75,17338613,1422305000,2.5174792,3.49
HST,Host Hotels & Resorts,NYSE,Real_Estate,18.75,11.23,4.11,1.02,21.53,17.26,14394715,1547000000,3.5549128,2.02
HPQ,HP Inc.,NYSE,Information_Technology,19.92,12.07,2.63,1.49,24.1,15.39,34895294,3700000000,0.8954903,0.66
HUM,Humana Inc.,NYSE,Health_Care,262.37,22.39,0.6,4.06,293.35,189.01,36973617,0,0.9256895,3.33
HII,Huntington Ingalls Industries,NYSE,Industrials,225.37,18.75,1.23,12.15,253.44,183.42,10628248,1107000000,1.8924941,6.04
ITW,Illinois Tool Works,NYSE,Industrials,156.15,23.62,1.91,4.86,179.07,126.52,55994378,3924000000,3.9286149,10.99
IR,Ingersoll-Rand PLC,NYSE,Industrials,87.6,19.38,1.97,5.07,97.67,77.26,22785451,1987100000,1.6147361,3.34
ICE,Intercontinental Exchange,NYSE,Financials,67,22.95,5.43,2.37,76.1378,56.8,41373051,3103000000,9.619987,2.62
IBM,International Business Machines,NYSE,Information_Technology,147.59,10.67,3.9,6.11,182.79,139.13,142433004,16557000000,1.817167,7.7
IP,International Paper,NYSE,Materials,56.05,15.57,3.21,5.14,66.94,49.6,24465996,3004000000,1.0738261,4.99
IPG,Interpublic Group,NYSE,Consumer_Discretionary,21.34,15.46,3.38,1.49,25.71,18.3,8277363,1074900000,1.4712903,4.01
IFF,Intl Flavors & Fragrances,NYSE,Materials,138,24.17,1.93,5.05,157.4,116.3,11270040,699963000,4.4208813,6.34
IVZ,Invesco Ltd.,NYSE,Financials,31.92,11.87,3.47,2.74,38.43,29.36,13620848,1606200000,2.6513786,1.62
IRM,Iron Mountain Incorporated,NYSE,Real_Estate,32.07,15.42,7.08,0.46,41.53,32.05,9410249,1116140000,3.2898626,4.97
JEC,Jacobs Engineering Group,NYSE,Industrials,62.82,19.45,0.91,2.43,72.18,49.31,9326484,409832000,1.2129636,2.01
SJM,JM Smucker,NYSE,Consumer_Staples,118.37,15.35,2.6,5.1,143.68,99.565,13612395,1411300000,2.496677,1.88
JNJ,Johnson & Johnson,NYSE,Health_Care,126.36,17.31,2.56,0.39,148.32,113.15,353062465,22430000000,4.6326222,4.74
JCI,Johnson Controls International,NYSE,Industrials,36.55,14,2.77,1.71,44.37,34.51,34822225,4295000000,1.1415336,1.69
JPM,JPMorgan Chase & Co.,NYSE,Financials,107.88,15.43,1.98,6.3,117.3529,81.635,386613611,0,3.3714993,1.6
JNPR,Juniper Networks,NYSE,Information_Technology,24.66,14.09,1.58,0.78,30.96,23.87,9267350,1115500000,1.8543326,1.78
KSU,Kansas City Southern,NYSE,Industrials,103.53,19.8,1.34,9.16,114.85,81.54,11037041,1295400000,4.281897,2.39
K,Kellogg Co.,NYSE,Consumer_Staples,65.98,16.5,3.36,1.95,76.69,58.76,22182795,1827000000,2.3173764,11.5
KEY,KeyCorp,NYSE,Financials,20.08,14.66,1.99,1.12,22.22,16.28,22589745,0,3.270451,1.55
KMB,Kimberly-Clark,NYSE,Consumer_Staples,111.69,17.93,3.56,6.41,136.21,109.67,39449596,4033000000,2.1947837,151.66
KIM,Kimco Realty,NYSE,Real_Estate,14.01,9.28,7.71,0.8,25.15,14.33,6180487,701190000,7.0508943,1.2
KMI,Kinder Morgan,NYSE,Energy,16.8,25.07,2.89,0.01,22.75,16.56,38612712,5981000000,2.823936,1.07
KSS,Kohl's Corp.,NYSE,Consumer_Discretionary,60.34,16.01,3.5,3.12,69.14,35.16,10570861,2286000000,0.8557757,2.04
KR,Kroger Co.,NYSE,Consumer_Staples,27.57,13.07,1.73,2.05,34.75,19.69,25471356,5342000000,0.27961263,4.02
LB,L Brands Inc.,NYSE,Consumer_Discretionary,47.77,12.77,4.89,3.98,63.1,35,13862043,2329000000,1.7060977,1403.38
LLL,L-3 Communications Holdings,NYSE,Industrials,198.79,23.14,1.44,8.51,218.705,159.43,16229343,1137000000,1.4884604,3.12
LH,Laboratory Corp. of America Holding,NYSE,Health_Care,165.46,17.79,0,7.02,181.715,130.292,17271388,1861200000,2.2459624,2.71
LEG,Leggett & Platt,NYSE,Consumer_Discretionary,43.99,17.88,3.15,2.76,54.97,42,6034600,447000000,2.0302901,4.89
LEN,Lennar Corp.,NYSE,Consumer_Discretionary,59.11,15.35,0.26,3.38,72.17,43.647053,14615967,1405319000,1.1468264,1.76
LUK,Leucadia National Corp.,NYSE,Financials,23.86,15.39,1.6,0.33,28.3,22.23,8910389,2201336000,1.0410156,0.84
LLY,Lilly (Eli) & Co.,NYSE,Health_Care,74.21,17.34,2.93,-0.2,89.09,75.71,84475986,3459800000,3.754678,5.73
LNC,Lincoln National,NYSE,Financials,73.86,9.49,1.68,9.24,86.68,61.45,17123031,0,1.201944,1.04
LMT,Lockheed Martin Corp.,NYSE,Industrials,334.3,24.28,2.32,6.83,361.79,256.4,98102120,7115000000,1.8781451,45.55
L,Loews Corp.,NYSE,Financials,46.05,15.99,4.51,1.93,53.59,45.01,16111167,0,1.5809761,0.85
LOW,Lowe's Cos.,NYSE,Consumer_Discretionary,95.01,23.87,1.64,3.46,108.98,70.76,82909679,7858000000,1.5653384,14.1
LYB,LyondellBasell,NYSE,Materials,105.79,10.35,3.26,12.25,121.95,78.01,43556650,6851000000,1.3037612,5.86
MTB,M&T Bank Corp.,NYSE,Financials,178.35,18.91,1.62,8.69,193.85,141.12,27840827,0,4.6277885,1.79
MAC,Macerich,NYSE,Real_Estate,58.36,14.81,4.92,3.43,69.73,52.12,8473119,503183000,11.394877,2.24
M,Macy's Inc.,NYSE,Consumer_Discretionary,24,7.67,6.1,1.98,33.73,17.405,7541063,2446000000,0.45503208,1.69
MRO,Marathon Oil Corp.,NYSE,Energy,15.68,-32,1.22,-2.65,19.52,10.55,13875005,2266000000,4.6578755,
MPC,Marathon Petroleum,NYSE,Energy,62.79,16.06,2.83,6.85,73.53,47.39,31633740,5978000000,0.42713487,2.43
MMC,Marsh & McLennan,NYSE,Financials,79.31,20.23,1.83,2.87,86.54,69.33,41819440,3236000000,2.9848945,5.85
MLM,Martin Marietta Materials,NYSE,Materials,208.42,30.38,0.8,6.63,244.32,191.09,13756813,975223000,4.416998,3.03
MAS,Masco Corp.,NYSE,Industrials,40.7,22.12,0.98,1.47,46.445,31.29,13428792,1179000000,2.308266,11.93
MA,Mastercard Inc.,NYSE,Information_Technology,160.62,34.99,0.59,3.65,177.11,105.8,187102014,7113000000,15.020556,26.93
MKC,McCormick & Co.,NYSE,Consumer_Staples,101.36,23.91,2.03,3.73,109.67,90.25,13459353,815700000,2.7788277,5.2
MCD,McDonald's Corp.,NYSE,Consumer_Discretionary,158.97,23.83,2.44,6.36,178.7,124.36,132101624,10515400000,5.770237,146.07
MCK,McKesson Corp.,NYSE,Health_Care,150.23,11.68,0.89,22.74,178.86,133.82,31534840,7232000000,0.15318617,2.68
MDT,Medtronic plc,NYSE,Health_Care,78.38,17.04,2.26,2.89,89.72,75.44,110107062,9204000000,4.944542,2.14
MRK,Merck & Co.,NYSE,Health_Care,54.73,13.75,3.44,1.4,66.8,53.63,152241530,8715000000,5.0893345,4.02
MET,MetLife Inc.,NYSE,Financials,44.28,8.52,3.46,0.63,56.58,44.58,48679364,0,1.0496864,0.85
MTD,Mettler Toledo,NYSE,Health_Care,601,35.56,0,14.24,697.26,459.34,16420774,666706000,8.372307,31.69
MGM,MGM Resorts International,NYSE,Consumer_Discretionary,33.5,29.65,1.27,1.92,38.41,25.15,19633674,2680385000,2.2276719,3.09
KORS,Michael Kors Holdings,NYSE,Consumer_Discretionary,60.03,14.29,0,3.31,69.95,32.38,10053919,456600000,3.1455927,5.4
MAA,Mid-America Apartments,NYSE,Real_Estate,85.39,14.38,4.2,2.86,110.95,86.95,9992629,871483000,6.6291075,1.6
MHK,Mohawk Industries,NYSE,Consumer_Discretionary,256.57,19.08,0,12.48,286.85,209.9,19897356,1750393000,2.7977824,2.88
TAP,Molson Coors Brewing Company,NYSE,Consumer_Staples,74.51,17.66,2.15,9.27,102.14,75.79,12396862,4708400000,1.2371694,1.34
MON,Monsanto Co.,NYSE,Materials,119.08,21.53,1.79,5.09,123.15,106.97,53076824,4217000000,3.589782,7.96
MCO,Moody's Corp,NYSE,Financials,152.14,26.55,1.11,1.35,167.23,106.48,30189978,1238000000,9.932974,73.84
MS,Morgan Stanley,NYSE,Financials,51.79,14.23,1.83,3.09,58.05,40.06,97535400,0,2.2258842,1.33
MSI,Motorola Solutions Inc.,NYSE,Information_Technology,98.74,19.03,2.03,-1.08,107.78,77.23,16626040,1629000000,2.6092634,6.81
NOV,National Oilwell Varco Inc.,NYSE,Energy,32.64,-77.71,0.59,-6.4,41.895,29.9,12940097,353000000,2.5209634,0.91
NWL,Newell Brands,NYSE,Consumer_Discretionary,27.91,9.72,3.12,1.17,55.08,23.85,14438346,2021400000,1.2810479,1.01
NFX,Newfield Exploration Co,NYSE,Energy,26.38,13.12,0,-6.5,43.74,24.41,5695123,896000000,4.703259,4.51
NEM,Newmont Mining Corporation,NYSE,Materials,36.61,26.34,0.81,-1.18,42.04,31.42,19749449,1509000000,3.7076392,1.81
NEE,NextEra Energy,NYSE,Utilities,145.29,21.65,2.65,11.39,159.64,124.18,69661178,9018000000,4.091698,2.75
