Event #,ET,IT (rv),ST (rv),TM,SS ,#WL,AT,DT,#INSYS,TIME between events,,,,Fraction of time busy,Average in the system,
73,Departure,6.06,2.34,204.61,1,2,205.23,206.96,3,0.62,,,,,,
74,Arrival,5.37,4.66,205.23,1,3,210.60,206.96,4,1.73,,,,,,
75,Departure,7.11,6.16,206.96,1,2,210.60,213.12,3,3.64,,,,,,
76,Arrival,3.82,0.64,210.60,1,3,214.42,213.12,4,2.52,,,,,,
77,Departure,4.59,0.05,213.12,1,2,214.42,213.17,3,0.05,,,,,,
78,Departure,1.39,1.78,213.17,1,1,214.42,214.95,2,1.25,,,,,,
79,Arrival,0.41,12.36,214.42,1,2,214.83,214.95,3,0.41,,,,,,
80,Arrival,0.99,0.27,214.83,1,3,215.82,214.95,4,0.12,,,,,,
81,Departure,1.42,1.18,214.95,1,2,215.82,216.13,3,0.87,,,,,,
82,Arrival,3.41,0.93,215.82,1,3,219.23,216.13,4,0.30,,,,,,
83,Departure,2.44,4.64,216.13,1,2,219.23,220.77,3,3.11,,,,,,
84,Arrival,2.77,2.66,219.23,1,3,222.01,220.77,4,1.53,,,,,,
85,Departure,6.46,16.05,220.77,1,2,222.01,236.82,3,1.24,,,,,,
86,Arrival,4.65,3.49,222.01,1,3,226.66,236.82,4,4.65,,,,,,
87,Arrival,2.79,1.07,226.66,1,4,229.45,236.82,5,2.79,,,,,,
88,Arrival,12.83,8.05,229.45,1,5,242.28,236.82,6,7.37,,,,,,
89,Departure,6.30,4.76,236.82,1,4,242.28,241.58,5,4.76,,,,,,
90,Departure,5.82,0.03,241.58,1,3,242.28,241.60,4,0.03,,,,,,
91,Departure,1.80,5.43,241.60,1,2,242.28,247.03,3,0.68,,,,,,
92,Arrival,3.54,2.23,242.28,1,3,245.82,247.03,4,3.54,,,,,,
93,Arrival,16.22,1.48,245.82,1,4,262.03,247.03,5,1.21,,,,,,
94,Departure,0.63,5.33,247.03,1,3,262.03,252.36,4,5.33,,,,,,
95,Departure,4.58,1.30,252.36,1,2,262.03,253.67,3,1.30,,,,,,
96,Departure,8.94,0.10,253.67,1,1,262.03,253.76,2,0.10,,,,,,
97,Departure,1.88,3.14,253.76,1,0,262.03,256.90,1,3.14,,,,,,
98,Departure,16.63,1.46,256.90,0,0,262.03,9999.00,0,5.13,,,,,,
99,Arrival,11.87,4.68,262.03,1,0,273.91,266.72,1,4.68,,,,,,
100,Departure,1.64,0.57,266.72,0,0,273.91,9999.00,0,,,,,,,
